lr_table,$,%,(,),*,+,-,/,;,<,=,>,[,],arithmetic_expression,array_statement,assignment,assignment_array,assignment_init,assignment_left,assignment_value,char,constant_expression,double,expression,external_declaration,identifier,int,number,operator,primary_expression,start,start1,statemen,statement,type,type_statement
0, , , , , , , , , , , , , , , , ,"('g', 5)", , ,"('g', 8)", ,"('s', 12)", ,"('s', 9)", ,"('g', 7)","('s', 1)","('s', 2)", , , ,"('g', 4)", ,"('s', 10)","('g', 11)","('g', 3)","('g', 6)"
1, , , , , , , , , , ,"('r', 30)", ,"('s', 14)", , , , ,"('g', 13)", , , , , , , , , , , , , , , , , , , 
2, , , , , , , , , , , , ,"('r', 6)", , , , , , , , , , , , , ,"('r', 6)", , , , , , , , , , 
3, , , , , , , , , , , , ,"('s', 16)", , ,"('g', 15)", , , , , , , , , , ,"('r', 9)", , , , , , , , , , 
4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5, , , , , , , , , , , , , , , , , , , , , ,"('r', 4)", ,"('r', 4)", , ,"('r', 4)","('r', 4)", , , , , ,"('r', 4)", , , 
6, , , , , , , , , , , , , , , , , , , , , , , , , , ,"('s', 17)", , , , , , , , , , 
7, , , , , , , , , , , , , , , , ,"('g', 5)", , ,"('g', 8)", ,"('s', 12)", ,"('s', 9)", ,"('g', 7)","('s', 1)","('s', 2)", , , ,"('g', 18)", ,"('s', 10)","('g', 11)","('g', 3)","('g', 6)"
8, , , , , , , , , , ,"('s', 20)", , , , , , , ,"('g', 19)", , , , , , , , , , , , , , , , , , 
9, , , , , , , , , , , , ,"('r', 7)", , , , , , , , , , , , , ,"('r', 7)", , , , , , , , , , 
10, , , , , , , , , , , , , , , , , , , , , ,"('r', 35)", ,"('r', 35)", , ,"('r', 35)","('r', 35)", , , , , ,"('r', 35)", , , 
11, , , , , , , , , , , , , , , , , , , , , ,"('r', 3)", ,"('r', 3)", , ,"('r', 3)","('r', 3)", , , , , ,"('r', 3)", , , 
12, , , , , , , , , , , , ,"('r', 5)", , , , , , , , , , , , , ,"('r', 5)", , , , , , , , , , 
13, , , , , , , , , , ,"('r', 28)", , , , , , , , , , , , , , , , , , , , , , , , , , 
14, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"('s', 21)", , , , , , , , 
15, , , , , , , , , , , , , , , , , , , , , , , , , , ,"('r', 10)", , , , , , , , , , 
16, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,"('s', 22)", , , , , , , , 
17, , , , , , , , ,"('s', 23)", , , , , , , , , , , , , , , , , , , , , , , , , , , , 
18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
19, , , , , , , , ,"('s', 24)", , , , , , , , , , , , , , , , , , , , , , , , , , , , 
20, , ,"('s', 25)", , , , , , , , , , , , , , , , , ,"('g', 32)", ,"('g', 31)", ,"('g', 30)", ,"('s', 29)", ,"('s', 26)", ,"('g', 28)", , , , , , 
21, , , , , , , , , , , , , ,"('s', 33)", , , , , , , , , , , , , , , , , , , , , , , 
22, , , , , , , , , , , , , ,"('s', 34)", , , , , , , , , , , , , , , , , , , , , , , 
23, , , , , , , , , , , , , , , , , , , , , ,"('r', 11)", ,"('r', 11)", , ,"('r', 11)","('r', 11)", , , , , ,"('r', 11)", , , 
24, , , , , , , , , , , , , , , , , , , , , ,"('r', 27)", ,"('r', 27)", , ,"('r', 27)","('r', 27)", , , , , ,"('r', 27)", , , 
25, , ,"('s', 35)", , , , , , , , , , , , , , , , , , , ,"('g', 37)", ,"('g', 39)", ,"('s', 40)", ,"('s', 38)", ,"('g', 36)", , , , , , 
26, ,"('r', 13)","('r', 13)", ,"('r', 13)","('r', 13)","('r', 13)","('r', 13)","('r', 13)","('r', 13)", ,"('r', 13)", , , , , , , , , , , , , , ,"('r', 13)", ,"('r', 13)", , , , , , , , 
27, , , , , , , , ,"('r', 30)", , , ,"('s', 41)", , , , ,"('g', 42)", , , , , , , , , , , , , , , , , , , 
28, ,"('s', 47)","('s', 25)", ,"('s', 49)","('s', 51)","('s', 53)","('s', 48)","('r', 25)","('s', 43)", ,"('s', 46)", , ,"('g', 50)", , , , , , , , , , , ,"('s', 29)", ,"('s', 26)","('g', 45)","('g', 52)", , , , , , 
29, ,"('r', 12)","('r', 12)", ,"('r', 12)","('r', 12)","('r', 12)","('r', 12)","('r', 12)","('r', 12)", ,"('r', 12)", , , , , , , , , , , , , , ,"('r', 12)", ,"('r', 12)", , , , , , , , 
30, , , , , , , , ,"('r', 32)", , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31, , , , , , , , ,"('r', 34)", , , , , , , , , , , , , , , , , , , , , , , , , , , , 
32, , , , , , , , ,"('r', 31)", , , , , , , , , , , , , , , , , , , , , , , , , , , , 
33, , , , , , , , , , ,"('r', 30)", ,"('s', 14)", , , , ,"('g', 54)", , , , , , , , , , , , , , , , , , , 
